time_completed,M,Z,batch_size,Number of Epochs,test_set_size,detector_type,activation,gen_hidden_dim,discim_hidden_dim,avg_validation_loss,avg_test_loss,avg_num_bits_changed,auc_before,accuracy_before, precision_before, recall_before, f1_before, acc_after, recall_after
2022-05-11 23:11:33.972009,11041,10,32,100,2600,DecisionTree,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,7500.699,0.91579656,0.92230769,0.95155039,0.92062500,0.93583227,0.00000000,0.00000000
2022-05-12 00:11:55.474932,11041,10,32,100,2600,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,4323.439,0.97977531,0.93653846,0.96320207,0.93250000,0.94760241,0.00000000,0.00000000
2022-05-12 04:55:59.779997,11041,10,32,100,2600,LogisticRegression,LeakyReLU,"[256, 256]","[256, 256]",-16.117809295654297,-16.118101119995117,2979.692,0.96458906,0.92769231,0.95314506,0.92812500,0.94046865,0.00000000,0.00000000
2022-05-12 12:01:42.008164,11041,10,32,100,2600,KNeighbors,LeakyReLU,"[256, 256]","[256, 256]",-3.301345586776733,-3.376566886901855,449.860,0.94977000,0.90230769,0.94334651,0.89500000,0.91853752,0.21500000,0.21500000
2022-05-12 14:58:50.765577,11041,10,32,100,2600,NaiveBayes,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,7426.167,0.61137500,0.69615385,0.67441860,0.97875000,0.79857216,0.00000000,0.00000000
2022-05-12 20:28:00.876377,11041,10,32,100,2600,Bernoulli,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,7323.917,0.84906344,0.73115385,0.85839300,0.67437500,0.75533777,0.00000000,0.00000000
2022-05-13 06:15:05.498514,11041,10,32,100,2600,Votingx5,LeakyReLU,"[256, 256]","[256, 256]",-16.117906570434570,-16.118101119995117,6385.214,0.96968656,0.93000000,0.94479297,0.94125000,0.94301816,0.00000000,0.00000000
2022-05-13 14:01:09.710783,11041,10,32,100,2600,BaggingDecision,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,3417.594,0.97268313,0.93115385,0.96468280,0.92187500,0.94279322,0.49625000,0.49625000
2022-05-13 23:17:40.269096,11041,10,32,100,2600,StackingDecisionTree,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2664.288,0.90567500,0.91538462,0.94344473,0.91750000,0.93029151,0.00000000,0.00000000
2022-05-14 03:49:31.347769,11041,10,32,100,2600,AdaBoost,LeakyReLU,"[256, 256]","[256, 256]",-13.364965438842773,-13.152260780334473,2390.305,0.95286031,0.88500000,0.91249207,0.89937500,0.90588606,0.04937500,0.04937500
2022-05-14 09:06:35.028047,11041,10,32,100,2600,GradientBoosting,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,4388.690,0.96610031,0.92423077,0.93816365,0.93875000,0.93845673,0.00000000,0.00000000
2022-05-14 20:27:27.501204,11041,10,32,100,2600,StackingKNeighbors,LeakyReLU,"[256, 256]","[256, 256]",-16.117948532104492,-16.118101119995117,3417.579,0.74159844,0.78846154,0.76381910,0.95000000,0.84679666,0.00000000,0.00000000
2022-05-15 06:54:42.330572,11041,10,32,100,2600,StackingLogistic,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,3036.816,0.97575906,0.93846154,0.96035806,0.93875000,0.94943110,0.00000000,0.00000000
2022-05-15 21:55:29.594258,11041,10,32,100,2600,Stackingx3Logistic,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2650.887,0.97692969,0.93423077,0.95713372,0.93500000,0.94593740,0.00000000,0.00000000
2022-05-16 07:45:59.077484,11041,10,32,100,2600,Stackingx3DecisionTree,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2748.470,0.90779969,0.91576923,0.94692557,0.91437500,0.93036566,0.00000000,0.00000000
2022-05-16 18:18:55.327686,11041,10,32,100,2600,Stackingx3KNeighbors,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2074.594,0.73811406,0.78576923,0.76458650,0.94187500,0.84402128,0.00000000,0.00000000
2022-05-17 13:24:25.089940,11041,10,32,100,2600,AdaBoost,LeakyReLU,"[256, 256]","[256, 256]",-10.133390426635742,-10.215831756591797,730.726,0.95291469,0.88500000,0.91249207,0.89937500,0.90588606,0.04937500,0.04937500
2022-05-17 22:06:47.483853,11041,10,32,100,2600,Stackingx3Logistic,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2283.223,0.97737844,0.93615385,0.96020539,0.93500000,0.94743509,0.00000000,0.00000000
2022-05-18 06:43:21.484906,11041,10,32,100,2600,Stackingx3DecisionTree,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2945.371,0.90274437,0.91192308,0.94484101,0.91000000,0.92709328,0.00000000,0.00000000
2022-05-18 13:45:51.550471,11041,10,32,100,2600,Stackingx3KNeighbors,LeakyReLU,"[256, 256]","[256, 256]",-12.674569129943848,-12.718227386474609,640.838,0.95942500,0.93192308,0.96231319,0.92562500,0.94361262,0.00625000,0.00625000
