time_completed,M,Z,batch_size,Number of Epochs,test_set_size,detector_type,activation,gen_hidden_dim,discim_hidden_dim,avg_validation_loss,avg_test_loss,avg_num_bits_changed,auc_before,accuracy_before, precision_before, recall_before, f1_before, acc_after, recall_after
2022-04-27 03:14:15.346989,11041,10,32,100,2600,DecisionTree,LeakyReLU,"[256, 256]","[256, 256]",-5.091651439666748,-4.998013019561768,1815.742,0.91694906,0.92461538,0.95584416,0.92000000,0.93757962,0.06250000,0.06250000
2022-04-27 07:09:44.513015,11041,10,32,100,2600,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,5542.122,0.98186938,0.94769231,0.97656250,0.93750000,0.95663265,0.00000000,0.00000000
2022-04-27 09:16:01.738187,11041,10,32,100,2600,LogisticRegression,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,2793.853,0.97128156,0.93961538,0.96638655,0.93437500,0.95011122,0.00000000,0.00000000
2022-04-27 15:04:52.629344,11041,10,32,100,2600,KNeighbors,LeakyReLU,"[256, 256]","[256, 256]",-3.757434129714966,-3.769265651702881,1306.777,0.95093594,0.90884615,0.94053006,0.90937500,0.92469018,0.15687500,0.15687500
2022-04-27 16:11:00.794311,11041,10,32,100,2600,MultiLayerPerceptron,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,3025.739,0.96787813,0.94346154,0.97890574,0.92812500,0.95283927,0.00000000,0.00000000
2022-04-27 21:20:53.914905,11041,10,32,100,2600,ExtraTree,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,4801.846,0.90641219,0.91884615,0.94263862,0.92437500,0.93341748,0.00000000,0.00000000
2022-04-27 22:38:44.718824,11041,10,32,100,2600,AdaBoost,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,4444.178,0.95698875,0.89192308,0.93995997,0.88062500,0.90932559,0.00000000,0.00000000
2022-04-28 02:51:04.682225,11041,10,32,100,2600,NaiveBayes,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,7522.734,0.61450000,0.69769231,0.67649610,0.97500000,0.79877112,0.00000000,0.00000000
2022-04-28 04:22:17.320900,11041,10,32,100,2600,Bernoulli,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,7359.521,0.86311344,0.74461538,0.87864078,0.67875000,0.76586742,0.00000000,0.00000000
2022-04-28 13:23:02.860631,11041,10,32,100,2600,StackingLogistic,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,3564.214,0.98360438,0.95038462,0.96462413,0.95437500,0.95947220,0.00000000,0.00000000
2022-04-28 15:20:17.307667,11041,10,32,100,2600,GradientBoosting,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.117979049682617,3089.804,0.96993281,0.93000000,0.94873418,0.93687500,0.94276730,0.00687500,0.00687500
